Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb
1,Saquon Barkley,27,PHI,RB,16,16,345,2005,13,99,0,72,5.8,125.3,19,2
2,Derrick Henry,30,BAL,RB,17,17,325,1921,16,106,0,87,5.9,113,18.3,2
3,Kyren Williams,24,LAR,RB,16,16,316,1299,14,92,0,30,4.1,81.2,18.2,6
4,Bijan Robinson,22,ATL,RB,17,17,304,1456,14,82,0,37,4.8,85.6,18.1,4
5,Jonathan Taylor,25,IND,RB,14,13,303,1431,11,71,0,70,4.7,102.2,16.9,4
6,Josh Jacobs,26,GNB,RB,17,17,301,1329,15,75,0,38,4.4,78.2,17.5,1
7,Najee Harris,26,PIT,RB,17,17,263,1043,6,51,0,36,4,61.4,15.6,2
8,Tony Pollard,27,TEN,RB,16,16,260,1079,5,53,0,41,4.2,67.4,15.3,1
9,Aaron Jones,30,MIN,RB,17,17,255,1138,5,50,0,41,4.5,66.9,15.2,2
10,D'Andre Swift,25,CHI,RB,17,17,253,959,6,43,0,56,3.8,56.4,15.8,2
11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,16,76,0,70,5.6,83.1,14.3,2
12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,10,62,0,38,4.8,79.7,15.2,2
13,Joe Mixon,28,HOU,RB,14,14,245,1016,11,60,0,59,4.1,72.6,14.2,4
14,James Conner,29,ARI,RB,16,16,236,1094,8,67,0,53,4.6,68.4,14.9,1
15,Rico Dowdle,26,DAL,RB,16,15,235,1079,2,53,0,27,4.6,67.4,13.9,2
16,Chase Brown,24,CIN,RB,16,10,229,990,7,49,0,40,4.3,61.9,15.6,3
17,Alvin Kamara,29,NOR,RB,14,14,228,950,6,52,0,24,4.2,67.9,13.6,2
18,Breece Hall,23,NYJ,RB,16,16,209,876,5,40,0,42,4.2,54.8,16.4,0
19,James Cook,25,BUF,RB,16,16,207,1009,16,63,0,65,4.9,63.1,13.9,2
20,Bucky Irving,22,TAM,RB,17,3,207,1122,8,55,0,56,5.4,66,13,1
21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,7,40,0,33,3.9,53.4,13.2,1
22,De'Von Achane,23,MIA,RB,17,16,203,907,6,37,0,61,4.5,53.4,12.3,1
23,Kareem Hunt,29,KAN,RB,13,8,200,728,7,50,0,20,3.6,56,11.5,0
24,J.K. Dobbins,26,LAC,RB,13,11,195,905,9,49,0,61,4.6,69.6,10.6,1
25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,5,39,0,45,4.4,49.4,11.7,1
26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,8,54,0,40,4.3,57.1,10.3,4
27,David Montgomery,27,DET,RB,14,14,185,775,12,52,0,21,4.2,55.4,17.3,1
28,Tank Bigsby,23,JAX,RB,16,1,168,766,7,39,0,65,4.6,47.9,9.9,0
29,Jordan Mason,25,SFO,RB,12,6,153,789,3,37,0,38,5.2,65.8,9.6,2
30,Kenneth Walker III,24,SEA,RB,11,11,153,573,7,28,0,28,3.7,52.1,9.9,3
31,Travis Etienne,25,JAX,RB,15,15,150,558,2,31,0,22,3.7,37.2,9.3,2
32,Jalen Hurts,26,PHI,QB,15,15,150,630,14,76,0,35,4.2,42,11.9,1
33,Jayden Daniels,24,WAS,QB,17,17,148,891,6,64,0,46,6,52.4,15.3,0
34,Rachaad White,25,TAM,RB,16,15,144,613,3,35,0,56,4.3,38.3,8.6,1
35,Lamar Jackson,27,BAL,QB,17,17,139,915,4,55,0,48,6.6,53.8,8.5,0
36,Javonte Williams,24,DEN,RB,17,11,139,513,4,30,0,20,3.7,30.2,8.4,0
37,Tyler Allgeier,24,ATL,RB,17,0,137,644,3,43,0,25,4.7,37.9,8.9,1
38,Zach Charbonnet,23,SEA,RB,17,6,135,569,8,32,0,51,4.2,33.5,11,2
39,Alexander Mattison,26,LVR,RB,14,7,132,420,4,25,0,24,3.2,30,7.8,0
40,Antonio Gibson,26,NWE,RB,17,3,120,538,1,24,0,45,4.5,31.6,11.9,2
41,Jaylen Warren,26,PIT,RB,15,0,120,511,1,29,0,22,4.3,34.1,9.3,3
42,Ray Davis,25,BUF,RB,17,0,113,442,3,27,0,23,3.9,26,7.4,1
43,Jaleel McLaughlin,24,DEN,RB,16,5,113,496,1,25,0,21,4.4,31,13.8,1
44,Devin Singletary,27,NYG,RB,15,5,113,437,4,24,0,43,3.9,29.1,8.1,0
45,Jerome Ford,25,CLE,RB,14,6,104,565,3,25,0,66,5.4,40.4,7,0
46,Cam Akers,25,2TM,RB,17,2,104,444,2,22,0,58,4.3,26.1,9.1,0
46,Cam Akers,25,HOU,RB,5,2,40,147,1,5,0,15,3.7,29.4,6.7,2
46,Cam Akers,25,MIN,RB,12,0,64,297,1,17,0,58,4.6,24.8,6.6,7
47,Emanuel Wilson,25,GNB,RB,17,0,103,502,4,27,0,21,4.9,29.5,8.6,0
48,Josh Allen,28,BUF,QB,17,17,102,531,12,66,0,30,5.2,31.2,6.6,8
49,Nick Chubb,29,CLE,RB,8,8,102,332,3,17,0,19,3.3,41.5,6.1,8
50,Gus Edwards,29,LAC,RB,11,6,101,365,4,18,0,43,3.6,33.2,12.6,1
