Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G
1,Jonathan Taylor,26,IND,RB,17,17,323,1585,18,84,51.7,83,4.9,93.2,19
2,Christian McCaffrey,29,SFO,RB,17,17,311,1202,10,71,48.6,41,3.9,70.7,18.3
3,James Cook,26,BUF,RB,17,17,309,1621,12,68,56.6,64,5.2,95.4,18.2
4,Derrick Henry,31,BAL,RB,17,17,307,1595,16,79,53.1,59,5.2,93.8,18.1
5,Bijan Robinson,23,ATL,RB,17,17,287,1478,7,63,51.6,93,5.1,86.9,16.9
6,Saquon Barkley,28,PHI,RB,16,16,280,1140,7,46,42.1,65,4.1,71.3,17.5
7,Ashton Jeanty,22,LVR,RB,17,17,266,975,5,44,41,64,3.7,57.4,15.6
8,Travis Etienne,26,JAX,RB,17,16,260,1107,7,48,46.9,71,4.3,65.1,15.3
9,Kyren Williams,25,LAR,RB,17,17,259,1252,10,74,62.9,34,4.8,73.6,15.2
10,Javonte Williams,25,DAL,RB,16,16,252,1201,11,67,56.3,66,4.8,75.1,15.8
11,Jahmyr Gibbs,23,DET,RB,17,17,243,1223,13,54,46.5,78,5,71.9,14.3
12,Breece Hall,24,NYJ,RB,16,16,243,1065,4,57,49.8,59,4.4,66.6,15.2
13,Tony Pollard,28,TEN,RB,17,17,242,1082,5,48,46.7,65,4.5,63.6,14.2
14,De'Von Achane,24,MIA,RB,16,16,238,1350,8,56,49.2,59,5.7,84.4,14.9
15,Rico Dowdle,27,CAR,RB,17,11,236,1076,6,51,47.9,53,4.6,63.3,13.9
16,Josh Jacobs,27,GNB,RB,15,15,234,929,13,55,49.1,40,4,61.9,15.6
17,Chase Brown,25,CIN,RB,17,17,232,1019,6,52,52.2,37,4.4,59.9,13.6
18,Quinshon Judkins,22,CLE,RB,14,14,230,827,7,50,40.9,46,3.6,59.1,16.4
19,D'Andre Swift,26,CHI,RB,16,16,223,1087,9,62,54.7,25,4.9,67.9,13.9
20,Kenneth Walker III,25,SEA,RB,17,17,221,1027,5,46,43.9,55,4.6,60.4,13
21,Jaylen Warren,27,PIT,RB,16,15,211,958,6,52,54.5,45,4.5,59.9,13.2
22,Woody Marks,25,HOU,RB,16,8,196,703,2,39,46.4,23,3.6,43.9,12.3
23,Zach Charbonnet,24,SEA,RB,16,0,184,730,12,48,48.4,30,4,45.6,11.5
24,TreVeyon Henderson,23,NWE,RB,17,4,180,911,9,45,51.7,69,5.1,53.6,10.6
25,Tyrone Tracy Jr.,26,NYG,RB,15,11,176,740,2,39,44.9,31,4.2,49.3,11.7
26,Jacory Croskey-Merritt,24,WAS,RB,17,7,175,805,8,41,53.7,72,4.6,47.4,10.3
27,Bucky Irving,23,TAM,RB,10,9,173,588,1,27,41.6,32,3.4,58.8,17.3
28,Kyle Monangai,23,CHI,RB,17,1,169,783,5,40,50.9,39,4.6,46.1,9.9
29,Kareem Hunt,30,KAN,RB,17,4,163,611,8,55,57.1,33,3.7,35.9,9.6
30,Jordan Mason,26,MIN,RB,16,5,159,758,6,45,56,24,4.8,47.4,9.9
31,David Montgomery,28,DET,RB,17,0,158,716,8,41,46.2,72,4.5,42.1,9.3
32,Kimani Vidal,24,LAC,RB,13,10,155,643,3,32,47.1,59,4.1,49.5,11.9
33,J.K. Dobbins,27,DEN,RB,10,9,153,772,4,37,53.6,41,5,77.2,15.3
34,RJ Harvey,24,DEN,RB,17,7,146,540,7,28,45.2,50,3.7,31.8,8.6
35,Blake Corum,25,LAR,RB,17,0,145,746,6,44,59.3,48,5.1,43.9,8.5
36,Tyler Allgeier,25,ATL,RB,17,2,143,514,8,36,49,21,3.6,30.2,8.4
37,Chuba Hubbard,26,CAR,RB,15,6,134,511,1,31,50.7,14,3.8,34.1,8.9
38,Aaron Jones,31,MIN,RB,12,12,132,548,2,28,50,31,4.2,45.7,11
39,Rachaad White,26,TAM,RB,17,8,132,572,4,37,53.8,39,4.3,33.6,7.8
40,Alvin Kamara,30,NOR,RB,11,11,131,471,1,21,42,18,3.6,42.8,11.9
41,Rhamondre Stevenson,27,NWE,RB,14,13,130,603,7,29,50.8,56,4.6,43.1,9.3
42,Emanuel Wilson,26,GNB,RB,17,2,125,496,3,32,58.4,15,4,29.2,7.4
43,Omarion Hampton,22,LAC,RB,9,6,124,545,4,31,46.8,54,4.4,60.6,13.8
44,Nick Chubb,30,HOU,RB,15,9,122,506,3,20,48.4,30,4.1,33.7,8.1
45,Devin Singletary,28,NYG,RB,17,1,119,437,5,27,48.7,29,3.7,25.7,7
46,Isiah Pacheco,26,KAN,RB,13,12,118,462,1,27,55.1,16,3.9,35.5,9.1
47,Kenneth Gainwell,26,PIT,RB,17,2,114,537,5,34,55.3,55,4.7,31.6,6.7
48,Josh Allen,29,BUF,QB,17,17,112,579,14,46,58,40,5.2,34.1,6.6
49,Chris Rodriguez,25,WAS,RB,13,7,112,500,6,32,58,48,4.5,38.5,8.6
50,Jalen Hurts,27,PHI,QB,16,16,105,421,8,37,50.5,29,4,26.3,6.6
